FAT; DFW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1232.9; EUR; 70; 70; 75; 46.95; 4.70; B; B1; B1; NOP;
FAT; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 173.3; EUR; 25; 15; 10; 10.10; 1.21; L; L1; L1; NOP;
FAT; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 288.9; EUR; 25; 15; 10; 4.33; 0.79; L; L1; L1; NOP;
FAT; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1446.3; EUR; 70; 70; 75; 9.84; 0.98; B; B1; B1; NOP;
FAT; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 173.6; EUR; 25; 15; 10; 12.80; 1.53; L; L1; L1; NOP;
FAT; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 289.3; EUR; 25; 15; 10; 5.48; 1.00; L; L1; L1; NOP;
FAT; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1335.0; EUR; 70; 70; 75; 7.55; 0.76; B; B1; B1; NOP;
FAT; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 160.2; EUR; 25; 15; 10; 9.81; 1.17; L; L1; L1; NOP;
FAT; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 267.0; EUR; 25; 15; 10; 4.20; 0.77; L; L1; L1; NOP;
FAT; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1709.1; EUR; 70; 70; 75; 6.43; 0.64; B; B1; B1; NOP;
FAT; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 205.1; EUR; 25; 15; 10; 8.35; 1.00; L; L1; L1; NOP;
FAT; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 341.8; EUR; 25; 15; 10; 3.58; 0.65; L; L1; L1; NOP;
FAT; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1789.4; EUR; 70; 70; 75; 9.44; 0.94; B; B1; B1; NOP;
FAT; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 214.7; EUR; 25; 15; 10; 12.27; 1.47; L; L1; L1; NOP;
FAT; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 357.9; EUR; 25; 15; 10; 5.26; 0.96; L; L1; L1; NOP;
FAT; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1400.4; EUR; 70; 70; 75; 7.48; 0.75; B; B1; B1; NOP;
FAT; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 168.0; EUR; 25; 15; 10; 9.73; 1.16; L; L1; L1; NOP;
FAT; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 280.1; EUR; 25; 15; 10; 4.17; 0.76; L; L1; L1; NOP;
FAT; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1476.9; EUR; 70; 70; 75; 7.67; 0.77; B; B1; B1; NOP;
FAT; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 177.2; EUR; 25; 15; 10; 9.97; 1.19; L; L1; L1; NOP;
FAT; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 295.4; EUR; 25; 15; 10; 4.27; 0.78; L; L1; L1; NOP;
FAT; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 2120.3; EUR; 70; 70; 75; 7.94; 0.79; B; B1; B1; NOP;
FAT; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 254.4; EUR; 25; 15; 10; 10.32; 1.23; L; L1; L1; NOP;
FAT; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 424.1; EUR; 25; 15; 10; 4.42; 0.81; L; L1; L1; NOP;
FAT; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1303.3; EUR; 70; 70; 75; 9.05; 0.91; B; B1; B1; NOP;
FAT; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 156.4; EUR; 25; 15; 10; 11.77; 1.41; L; L1; L1; NOP;
FAT; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 260.7; EUR; 25; 15; 10; 5.04; 0.92; L; L1; L1; NOP;
FAT; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1460.5; EUR; 70; 70; 75; 6.09; 0.61; B; B1; B1; NOP;
FAT; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 175.3; EUR; 25; 15; 10; 7.92; 0.95; L; L1; L1; NOP;
FAT; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 292.1; EUR; 25; 15; 10; 3.39; 0.62; L; L1; L1; NOP;
FAT; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1428.5; EUR; 70; 70; 75; 8.15; 0.82; B; B1; B1; NOP;
FAT; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 171.4; EUR; 25; 15; 10; 10.59; 1.27; L; L1; L1; NOP;
FAT; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 285.7; EUR; 25; 15; 10; 4.54; 0.83; L; L1; L1; NOP;
DFW; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1223.4; EUR; 70; 70; 75; 38.84; 3.88; B; B1; B1; NOP;
DFW; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 146.8; EUR; 25; 15; 10; 50.48; 6.03; L; L1; L1; NOP;
DFW; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 244.7; EUR; 25; 15; 10; 21.64; 3.95; L; L1; L1; NOP;
DFW; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1072.3; EUR; 70; 70; 75; 41.54; 4.15; B; B1; B1; NOP;
DFW; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 128.7; EUR; 25; 15; 10; 54.00; 6.45; L; L1; L1; NOP;
DFW; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 214.5; EUR; 25; 15; 10; 23.14; 4.23; L; L1; L1; NOP;
DFW; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1106.1; EUR; 70; 70; 75; 42.50; 4.25; B; B1; B1; NOP;
DFW; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 132.7; EUR; 25; 15; 10; 55.25; 6.60; L; L1; L1; NOP;
DFW; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 221.2; EUR; 25; 15; 10; 23.68; 4.32; L; L1; L1; NOP;
DFW; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1088.3; EUR; 70; 70; 75; 40.32; 4.03; B; B1; B1; NOP;
DFW; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 130.6; EUR; 25; 15; 10; 52.42; 6.27; L; L1; L1; NOP;
DFW; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 217.7; EUR; 25; 15; 10; 22.47; 4.10; L; L1; L1; NOP;
DFW; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1008.1; EUR; 70; 70; 75; 30.55; 3.06; B; B1; B1; NOP;
DFW; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 121.0; EUR; 25; 15; 10; 39.71; 4.75; L; L1; L1; NOP;
DFW; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 201.6; EUR; 25; 15; 10; 17.02; 3.11; L; L1; L1; NOP;
DFW; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1081.4; EUR; 70; 70; 75; 32.91; 3.29; B; B1; B1; NOP;
DFW; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 129.8; EUR; 25; 15; 10; 42.78; 5.11; L; L1; L1; NOP;
DFW; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 216.3; EUR; 25; 15; 10; 18.33; 3.35; L; L1; L1; NOP;
DFW; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1320.0; EUR; 70; 70; 75; 50.23; 5.02; B; B1; B1; NOP;
DFW; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 158.4; EUR; 25; 15; 10; 65.30; 7.80; L; L1; L1; NOP;
DFW; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 264.0; EUR; 25; 15; 10; 27.98; 5.11; L; L1; L1; NOP;
DFW; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1120.9; EUR; 70; 70; 75; 43.81; 4.38; B; B1; B1; NOP;
DFW; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 134.5; EUR; 25; 15; 10; 56.96; 6.81; L; L1; L1; NOP;
DFW; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 224.2; EUR; 25; 15; 10; 24.41; 4.46; L; L1; L1; NOP;
DFW; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1412.4; EUR; 70; 70; 75; 48.44; 4.84; B; B1; B1; NOP;
DFW; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 169.5; EUR; 25; 15; 10; 62.97; 7.53; L; L1; L1; NOP;
DFW; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 282.5; EUR; 25; 15; 10; 26.99; 4.93; L; L1; L1; NOP;
DFW; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1172.4; EUR; 70; 70; 75; 44.77; 4.48; B; B1; B1; NOP;
DFW; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 140.7; EUR; 25; 15; 10; 58.21; 6.96; L; L1; L1; NOP;
DFW; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 234.5; EUR; 25; 15; 10; 24.95; 4.55; L; L1; L1; NOP;
DFW; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 965.4; EUR; 70; 70; 75; 56.73; 5.67; B; B1; B1; NOP;
DFW; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 115.8; EUR; 25; 15; 10; 73.74; 8.81; L; L1; L1; NOP;
DFW; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 193.1; EUR; 25; 15; 10; 31.60; 5.77; L; L1; L1; NOP;
DFW; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1239.0; EUR; 70; 70; 75; 43.46; 4.35; B; B1; B1; NOP;
DFW; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 148.7; EUR; 25; 15; 10; 56.50; 6.75; L; L1; L1; NOP;
DFW; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 247.8; EUR; 25; 15; 10; 24.21; 4.42; L; L1; L1; NOP;
DFW; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1239.5; EUR; 70; 70; 75; 37.05; 3.71; B; B1; B1; NOP;
DFW; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 148.7; EUR; 25; 15; 10; 48.17; 5.76; L; L1; L1; NOP;
DFW; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 247.9; EUR; 25; 15; 10; 20.64; 3.77; L; L1; L1; NOP;
DFW; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1382.5; EUR; 70; 70; 75; 54.37; 5.44; B; B1; B1; NOP;
DFW; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 165.9; EUR; 25; 15; 10; 70.68; 8.45; L; L1; L1; NOP;
DFW; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 276.5; EUR; 25; 15; 10; 30.29; 5.53; L; L1; L1; NOP;
DFW; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1040.1; EUR; 70; 70; 75; 43.12; 4.31; B; B1; B1; NOP;
DFW; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 124.8; EUR; 25; 15; 10; 56.05; 6.70; L; L1; L1; NOP;
DFW; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 208.0; EUR; 25; 15; 10; 24.02; 4.39; L; L1; L1; NOP;
DFW; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1247.9; EUR; 70; 70; 75; 44.16; 4.42; B; B1; B1; NOP;
DFW; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 149.7; EUR; 25; 15; 10; 57.41; 6.86; L; L1; L1; NOP;
DFW; DTW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 249.6; EUR; 25; 15; 10; 24.60; 4.49; L; L1; L1; NOP;
DFW; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1381.5; EUR; 70; 70; 75; 45.74; 4.57; B; B1; B1; NOP;
DFW; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 165.8; EUR; 25; 15; 10; 59.46; 7.11; L; L1; L1; NOP;
DFW; BOS; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 276.3; EUR; 25; 15; 10; 25.48; 4.65; L; L1; L1; NOP;
DFW; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 933.9; EUR; 70; 70; 75; 46.95; 4.70; B; B1; B1; NOP;
DFW; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 112.1; EUR; 25; 15; 10; 61.04; 7.30; L; L1; L1; NOP;
DFW; FOE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 186.8; EUR; 25; 15; 10; 26.16; 4.78; L; L1; L1; NOP;
DFW; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1139.9; EUR; 70; 70; 75; 52.19; 5.22; B; B1; B1; NOP;
DFW; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 136.8; EUR; 25; 15; 10; 67.85; 8.11; L; L1; L1; NOP;
DFW; ORD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 228.0; EUR; 25; 15; 10; 29.08; 5.31; L; L1; L1; NOP;
DFW; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1099.9; EUR; 70; 70; 75; 35.08; 3.51; B; B1; B1; NOP;
DFW; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 132.0; EUR; 25; 15; 10; 45.61; 5.45; L; L1; L1; NOP;
DFW; DAY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 220.0; EUR; 25; 15; 10; 19.55; 3.57; L; L1; L1; NOP;
DFW; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1227.1; EUR; 70; 70; 75; 168.92; 16.89; B; B1; B1; NOP;
DFW; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 147.3; EUR; 25; 15; 10; 219.60; 26.25; L; L1; L1; NOP;
DFW; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 245.4; EUR; 25; 15; 10; 94.11; 17.18; L; L1; L1; NOP;
MSP; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1321.3; EUR; 70; 70; 75; 38.84; 3.88; B; B1; B1; NOP;
MSP; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 158.6; EUR; 25; 15; 10; 50.48; 6.03; L; L1; L1; NOP;
MSP; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 264.3; EUR; 25; 15; 10; 21.64; 3.95; L; L1; L1; NOP;
MSP; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1075.4; EUR; 70; 70; 75; 41.54; 4.15; B; B1; B1; NOP;
MSP; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 129.0; EUR; 25; 15; 10; 54.00; 6.45; L; L1; L1; NOP;
MSP; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 215.1; EUR; 25; 15; 10; 23.14; 4.23; L; L1; L1; NOP;
MSP; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1178.9; EUR; 70; 70; 75; 42.50; 4.25; B; B1; B1; NOP;
MSP; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 141.5; EUR; 25; 15; 10; 55.25; 6.60; L; L1; L1; NOP;
MSP; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 235.8; EUR; 25; 15; 10; 23.68; 4.32; L; L1; L1; NOP;
MSP; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1072.1; EUR; 70; 70; 75; 40.32; 4.03; B; B1; B1; NOP;
MSP; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 128.7; EUR; 25; 15; 10; 52.42; 6.27; L; L1; L1; NOP;
MSP; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 214.4; EUR; 25; 15; 10; 22.47; 4.10; L; L1; L1; NOP;
MSP; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1259.9; EUR; 70; 70; 75; 30.55; 3.06; B; B1; B1; NOP;
MSP; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 151.2; EUR; 25; 15; 10; 39.71; 4.75; L; L1; L1; NOP;
MSP; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 252.0; EUR; 25; 15; 10; 17.02; 3.11; L; L1; L1; NOP;
MSP; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1230.4; EUR; 70; 70; 75; 32.91; 3.29; B; B1; B1; NOP;
MSP; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 147.6; EUR; 25; 15; 10; 42.78; 5.11; L; L1; L1; NOP;
MSP; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 246.1; EUR; 25; 15; 10; 18.33; 3.35; L; L1; L1; NOP;
MSP; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1306.8; EUR; 70; 70; 75; 50.23; 5.02; B; B1; B1; NOP;
MSP; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 156.8; EUR; 25; 15; 10; 65.30; 7.80; L; L1; L1; NOP;
MSP; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 261.4; EUR; 25; 15; 10; 27.98; 5.11; L; L1; L1; NOP;
MSP; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1005.6; EUR; 70; 70; 75; 43.81; 4.38; B; B1; B1; NOP;
MSP; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 120.7; EUR; 25; 15; 10; 56.96; 6.81; L; L1; L1; NOP;
MSP; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 201.1; EUR; 25; 15; 10; 24.41; 4.46; L; L1; L1; NOP;
MSP; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1020.6; EUR; 70; 70; 75; 48.44; 4.84; B; B1; B1; NOP;
MSP; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 122.5; EUR; 25; 15; 10; 62.97; 7.53; L; L1; L1; NOP;
MSP; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 204.1; EUR; 25; 15; 10; 26.99; 4.93; L; L1; L1; NOP;
MSP; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 948.8; EUR; 70; 70; 75; 44.77; 4.48; B; B1; B1; NOP;
MSP; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 113.9; EUR; 25; 15; 10; 58.21; 6.96; L; L1; L1; NOP;
MSP; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 189.8; EUR; 25; 15; 10; 24.95; 4.55; L; L1; L1; NOP;
MSP; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 926.4; EUR; 70; 70; 75; 56.73; 5.67; B; B1; B1; NOP;
MSP; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 111.2; EUR; 25; 15; 10; 73.74; 8.81; L; L1; L1; NOP;
MSP; UIN; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 185.3; EUR; 25; 15; 10; 31.60; 5.77; L; L1; L1; NOP;
MSP; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 934.4; EUR; 70; 70; 75; 43.46; 4.35; B; B1; B1; NOP;
MSP; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 112.1; EUR; 25; 15; 10; 56.50; 6.75; L; L1; L1; NOP;
MSP; MKE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 186.9; EUR; 25; 15; 10; 24.21; 4.42; L; L1; L1; NOP;
MSP; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1294.3; EUR; 70; 70; 75; 37.05; 3.71; B; B1; B1; NOP;
MSP; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 155.3; EUR; 25; 15; 10; 48.17; 5.76; L; L1; L1; NOP;
MSP; BTV; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 258.9; EUR; 25; 15; 10; 20.64; 3.77; L; L1; L1; NOP;
MSP; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1169.6; EUR; 70; 70; 75; 54.37; 5.44; B; B1; B1; NOP;
MSP; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 140.4; EUR; 25; 15; 10; 70.68; 8.45; L; L1; L1; NOP;
MSP; EWR; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 233.9; EUR; 25; 15; 10; 30.29; 5.53; L; L1; L1; NOP;
MSP; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 948.8; EUR; 70; 70; 75; 43.12; 4.31; B; B1; B1; NOP;
MSP; CLE; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 113.9; EUR; 25; 15; 10; 56.05; 6.70; L; L1; L1; NOP;
